State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Meghalaya,2013,Robbery,Mugging in a dark alley,Baghmara,Photographic evidence,Metropolitan Police Department,Under Investigation,Not convicted,Yes
Tamil Nadu,2013,Domestic Violence,Child abuse within a family,Erode,Confession statements,K-9 Unit,Open,Partially convicted,No
Chhattisgarh,1979,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Raigarh,Vehicle registration records,Cyber Crimes Unit,Closed,Partially convicted,Yes
Nagaland,2001,Armed Robbery,Jewelry store heist involving a group of armed robbers,Kohima,Confession statements,Special Investigations Unit,Under Investigation,Not convicted,No
Haryana,2022,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Gurgaon,Character witness testimonies,Homicide Unit,Closed,Convicted,No
Nagaland,1972,Terrorism,Chemical attack in a subway station,Kohima,Confession statements,Cyber Crimes Unit,Closed,Partially convicted,No
Himachal Pradesh,1986,Public Intoxication,Drunken disorderly conduct at a bar,Mandi,Eyewitness accounts,Metropolitan Police Department,Under Investigation,Not convicted,Yes
Maharashtra,2002,Cybercrime,Social media account hacking,Pune,Forensic analysis reports,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Punjab,1989,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Jalandhar,Eyewitness accounts,Highway Patrol,Open,Not convicted,Yes
Bihar,2009,Vandalism,Smashing car windows in a parking lot,Purnia,Forensic analysis reports,SWAT Team,Under Investigation,Not convicted,Yes
Assam,1986,Drug Possession,Drug deal in a park,Silchar,Bank statements,Major Crimes Unit,Closed,Not convicted,Yes
Punjab,2002,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Jalandhar,Phone records,Special Operations Division,Open,Not convicted,Yes
Telangana,1993,Forgery,Forgery of legal documents for identity theft,Ramagundam,Financial transactions,Forensic Science Division,Under Investigation,Not convicted,Yes
Jharkhand,1984,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Ranchi,Medical reports,Fraud Investigation Unit,Closed,Convicted,No
Jharkhand,1994,Assault,Street fight between two individuals,Bokaro Steel City,Vehicle registration records,Criminal Investigation Division,Under Investigation,Not convicted,Yes
Goa,2014,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Mapusa,"Physical evidence (e.g., fingerprints, DNA)",Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Uttar Pradesh,1998,Burglary,Office burglary during the night,Aligarh,Financial transactions,Special Investigations Unit,Under Investigation,Convicted,No
Punjab,2015,Fraud,Insurance fraud scheme,Pathankot,Video surveillance footage,Homicide Unit,Under Investigation,Not convicted,No
Sikkim,1988,Homicide,Gang-related shooting in a city street,Rangpo,Eyewitness accounts,K-9 Unit,Closed,Not convicted,Yes
Odisha,2000,Human Trafficking,Human smuggling operation intercepted at the border,Sambalpur,Financial transactions,Traffic Enforcement Unit,Open,Not convicted,Yes
Himachal Pradesh,2008,Forgery,Forgery of legal documents for identity theft,Bilaspur,Expert witness testimony,Traffic Enforcement Unit,Open,Partially convicted,No
Jharkhand,1973,Human Trafficking,Human smuggling operation intercepted at the border,Giridih,Bank statements,Criminal Investigation Division,Closed,Partially convicted,No
Maharashtra,1997,Armed Robbery,Armored truck hijacked by criminals wielding handguns,Nagpur,Confession statements,Metropolitan Police Department,Closed,Partially convicted,No
Arunachal Pradesh,1972,Car Theft,Carjacking of a taxi cab by a lone assailant,Naharlagun,Property ownership documents,K-9 Unit,Open,Partially convicted,Yes
Himachal Pradesh,2008,Cybercrime,Identity theft through phishing emails,Bilaspur,"Digital evidence (e.g., emails, text messages)",City Police Department,Closed,Convicted,Yes
Bihar,2018,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Purnia,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Under Investigation,Not convicted,No
Meghalaya,2010,Drug Trafficking,International drug cartel smuggling narcotics across the border,Baghmara,Eyewitness accounts,State Police Department,Under Investigation,Convicted,Yes
Odisha,1970,Sexual Assault,Stranger rape in a dark alley,Balasore,Audio recordings,Highway Patrol,Under Investigation,Convicted,Yes
Kerala,1986,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Malappuram,Audio recordings,Special Operations Division,Closed,Not convicted,No
West Bengal,1976,Forgery,Forgery of legal documents for identity theft,Kharagpur,Confession statements,Cyber Crimes Unit,Open,Not convicted,Yes
Punjab,1999,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Batala,Eyewitness accounts,Special Operations Division,Open,Not convicted,No
Jharkhand,1975,White-Collar Crime,Corporate espionage by rival companies,Ramgarh,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Open,Partially convicted,Yes
Rajasthan,1977,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Bhilwara,Photographic evidence,Traffic Enforcement Unit,Closed,Convicted,No
Sikkim,2007,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Pakyong,Character witness testimonies,Major Crimes Unit,Open,Partially convicted,Yes
Haryana,2012,Homicide,Domestic murder-suicide,Ambala,Photographic evidence,Fraud Investigation Unit,Under Investigation,Partially convicted,Yes
Himachal Pradesh,2012,Burglary,Office burglary during the night,Dharamshala,Confession statements,Bureau of Investigation,Closed,Not convicted,No
Uttarakhand,2021,Public Corruption,Police officers implicated in drug trafficking ring,Haridwar,Medical reports,State Police Department,Open,Partially convicted,Yes
Chhattisgarh,1972,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Jagdalpur,Video surveillance footage,Special Investigations Unit,Open,Not convicted,No
Goa,2010,Cybercrime,Ransomware attack on a business network,Vasco da Gama,Crime scene photographs,SWAT Team,Under Investigation,Partially convicted,No
Mizoram,1977,Drug Possession,Drug trafficking in a residential area,Lunglei,Confession statements,Major Crimes Unit,Open,Not convicted,Yes
Arunachal Pradesh,2000,Cybercrime,Ransomware attack on a business network,Aalo,Phone records,City Police Department,Closed,Convicted,No
Karnataka,1985,Vandalism,Graffiti on public property,Gulbarga,Witness statements,Fraud Investigation Unit,Open,Not convicted,Yes
Assam,2007,Burglary,Office burglary during the night,Bongaigaon,"Physical evidence (e.g., fingerprints, DNA)",K-9 Unit,Under Investigation,Not convicted,Yes
Himachal Pradesh,1992,Homicide,Domestic murder-suicide,Solan,Crime scene photographs,Narcotics Division,Open,Convicted,No
Karnataka,1996,Terrorism,Bombing at a crowded public event,Davanagere,Audio recordings,Major Crimes Unit,Open,Not convicted,No
Chhattisgarh,1992,Public Corruption,Police officers implicated in drug trafficking ring,Chirmiri,"Physical evidence (e.g., fingerprints, DNA)",Special Operations Division,Closed,Not convicted,No
Nagaland,1981,Theft,Grand theft auto of a luxury vehicle,Longleng,Property ownership documents,Victim Services Division,Closed,Convicted,Yes
Madhya Pradesh,1981,Fraud,Tax evasion,Indore,Eyewitness accounts,Traffic Enforcement Unit,Open,Partially convicted,Yes
Sikkim,2016,Robbery,Mugging in a dark alley,Mangan,Witness statements,Fraud Investigation Unit,Under Investigation,Convicted,Yes
West Bengal,2017,Embezzlement,Misappropriation of funds by a financial advisor,Kolkata,Vehicle registration records,Highway Patrol,Under Investigation,Convicted,Yes
Himachal Pradesh,1978,Sexual Assault,Date rape at a college party,Shimla,Financial transactions,SWAT Team,Open,Convicted,Yes
Nagaland,1988,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Tuensang,Vehicle registration records,Metropolitan Police Department,Closed,Partially convicted,No
Manipur,1991,Sexual Assault,Stranger rape in a dark alley,Lilong,Witness statements,Forensic Science Division,Under Investigation,Partially convicted,Yes
Jharkhand,1994,Robbery,Armed robbery at a convenience store,Bokaro Steel City,Confession statements,Criminal Investigation Division,Closed,Partially convicted,Yes
Madhya Pradesh,2003,Domestic Violence,Child abuse within a family,Sagar,Phone records,Community Policing Unit,Open,Not convicted,No
Maharashtra,1993,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Solapur,Vehicle registration records,Special Investigations Unit,Under Investigation,Convicted,No
Madhya Pradesh,2013,Kidnapping,Virtual kidnapping scam,Ratlam,Audio recordings,Bureau of Investigation,Under Investigation,Partially convicted,Yes
West Bengal,1978,Theft,Grand theft auto of a luxury vehicle,Kolkata,"Digital evidence (e.g., emails, text messages)",Fraud Investigation Unit,Under Investigation,Not convicted,No
Himachal Pradesh,2000,Drug Possession,Drug deal in a park,Chamba,Character witness testimonies,Highway Patrol,Open,Partially convicted,No
Tripura,1986,Forgery,Counterfeit currency operation,Ambassa,Audio recordings,Fraud Investigation Unit,Closed,Not convicted,Yes
Punjab,2001,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Amritsar,Phone records,Bureau of Investigation,Under Investigation,Convicted,Yes
Odisha,1995,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Berhampur,Financial transactions,Highway Patrol,Open,Partially convicted,No
Bihar,2007,Burglary,Shoplifting at a local store,Arrah,"Physical evidence (e.g., fingerprints, DNA)",Special Investigations Unit,Under Investigation,Not convicted,No
Meghalaya,1997,Hate Crime,Vandalism of synagogue with anti-Semitic graffiti,Shillong,Property ownership documents,Special Operations Division,Open,Not convicted,No
Nagaland,1978,Assault,Domestic dispute turned violent,Longleng,Confession statements,Criminal Investigation Division,Under Investigation,Not convicted,No
Chhattisgarh,2018,Drug Possession,Possession of illegal substances during a traffic stop,Raipur,Character witness testimonies,Fraud Investigation Unit,Under Investigation,Not convicted,No
Uttar Pradesh,2010,Human Trafficking,Victims of human trafficking rescued from underground brothel,Lucknow,Audio recordings,Homicide Unit,Under Investigation,Partially convicted,Yes
Chhattisgarh,2000,Robbery,Mugging in a dark alley,Bhilai,Witness statements,Fraud Investigation Unit,Under Investigation,Convicted,No
Tripura,2020,Assault,Domestic dispute turned violent,Amarpur,Character witness testimonies,Forensic Science Division,Open,Convicted,No
Meghalaya,1984,Kidnapping,Child abduction from a playground,Baghmara,Confession statements,Special Operations Division,Closed,Not convicted,Yes
Uttarakhand,1986,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Kashipur,Confession statements,Highway Patrol,Open,Not convicted,No
Gujarat,1971,Domestic Violence,Child abuse within a family,Gandhinagar,Vehicle registration records,City Police Department,Open,Convicted,No
Gujarat,2004,White-Collar Crime,Counterfeiting money operation,Ahmedabad,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Open,Not convicted,Yes
Bihar,2005,Domestic Violence,Stalking by an ex-partner,Begusarai,Financial transactions,Community Policing Unit,Under Investigation,Convicted,Yes
Arunachal Pradesh,1995,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Ziro,Photographic evidence,City Police Department,Under Investigation,Convicted,Yes
Arunachal Pradesh,2023,Fraud,Tax evasion,Pasighat,Phone records,Criminal Investigation Division,Open,Partially convicted,No
Sikkim,1987,Armed Robbery,Jewelry store heist involving a group of armed robbers,Pakyong,Bank statements,Cyber Crimes Unit,Under Investigation,Not convicted,No
Chhattisgarh,2003,Theft,Pickpocketing in a crowded market,Raigarh,Video surveillance footage,Major Crimes Unit,Closed,Convicted,Yes
Maharashtra,2001,Cybercrime,Ransomware attack on a business network,Vasai-Virar,Vehicle registration records,Special Operations Division,Under Investigation,Partially convicted,No
Jharkhand,2015,Vandalism,Defacing a monument,Ramgarh,"Physical evidence (e.g., fingerprints, DNA)",Community Policing Unit,Under Investigation,Partially convicted,Yes
Uttarakhand,1994,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Roorkee,Expert witness testimony,Special Investigations Unit,Open,Partially convicted,Yes
Maharashtra,2007,Arson,Setting fire to a vacant building,Kalyan-Dombivali,Audio recordings,Narcotics Division,Closed,Partially convicted,No
Telangana,2016,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Karimnagar,Vehicle registration records,Bureau of Investigation,Closed,Not convicted,No
Haryana,1988,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Karnal,Witness statements,Highway Patrol,Open,Convicted,Yes
Bihar,1995,Arson,Arson for insurance fraud,Darbhanga,Expert witness testimony,Homicide Unit,Open,Convicted,Yes
Arunachal Pradesh,1977,Public Corruption,Police officers implicated in drug trafficking ring,Along,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Under Investigation,Partially convicted,No
Punjab,2014,Terrorism,Cyberterrorism targeting critical infrastructure,Pathankot,Video surveillance footage,K-9 Unit,Closed,Partially convicted,Yes
Manipur,2008,Drug Possession,Possession of illegal substances during a traffic stop,Mao,Video surveillance footage,Special Investigations Unit,Open,Convicted,Yes
West Bengal,1991,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Siliguri,Confession statements,Community Policing Unit,Closed,Convicted,No
West Bengal,1998,Vandalism,Smashing car windows in a parking lot,Baharampur,Vehicle registration records,Major Crimes Unit,Closed,Convicted,No
Uttarakhand,1972,Kidnapping,Child abduction from a playground,Dehradun,Medical reports,SWAT Team,Under Investigation,Convicted,Yes
Meghalaya,1978,Public Intoxication,Drunken disorderly conduct at a bar,Tura,Property ownership documents,K-9 Unit,Open,Partially convicted,Yes
Punjab,2006,Assault,Physical altercation at a bar,Bathinda,Medical reports,City Police Department,Closed,Convicted,Yes
Karnataka,1981,Domestic Violence,Child abuse within a family,Davanagere,Property ownership documents,Forensic Science Division,Under Investigation,Partially convicted,No
Uttar Pradesh,2019,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Bareilly,Photographic evidence,Special Investigations Unit,Closed,Partially convicted,Yes
Assam,2019,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Dibrugarh,Confession statements,Metropolitan Police Department,Under Investigation,Not convicted,No
Karnataka,1996,Theft,Grand theft auto of a luxury vehicle,Bijapur,Vehicle registration records,Victim Services Division,Under Investigation,Partially convicted,Yes
Tripura,2012,White-Collar Crime,Insider trading on the stock market,Khowai,Crime scene photographs,Cyber Crimes Unit,Closed,Not convicted,No
Uttarakhand,2014,Public Intoxication,Public urination in a city park,Rudrapur,Property ownership documents,Victim Services Division,Open,Not convicted,No
Telangana,2023,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Nizamabad,"Digital evidence (e.g., emails, text messages)",K-9 Unit,Under Investigation,Partially convicted,Yes
Haryana,1976,Arson,Arson for insurance fraud,Rohtak,Audio recordings,Traffic Enforcement Unit,Closed,Not convicted,Yes
Gujarat,2021,Cybercrime,Social media account hacking,Ahmedabad,Eyewitness accounts,Highway Patrol,Closed,Partially convicted,No
Gujarat,1985,Homicide,Gang-related shooting in a city street,Bharuch,Confession statements,State Police Department,Closed,Convicted,No
Punjab,1990,Homicide,Domestic murder-suicide,Patiala,Crime scene photographs,Special Operations Division,Under Investigation,Convicted,Yes
Telangana,1997,Drug Trafficking,Drug mules apprehended at an airport carrying drugs in their luggage,Karimnagar,Crime scene photographs,K-9 Unit,Open,Not convicted,No
Tripura,1975,Domestic Violence,Stalking by an ex-partner,Kailasahar,Forensic analysis reports,Homicide Unit,Open,Convicted,Yes
Punjab,1999,Terrorism,Chemical attack in a subway station,Batala,Bank statements,City Police Department,Under Investigation,Convicted,No
Bihar,2014,Sexual Assault,Sexual assault by a trusted authority figure,Arrah,Confession statements,Metropolitan Police Department,Under Investigation,Partially convicted,Yes
Nagaland,2005,Terrorism,Cyberterrorism targeting critical infrastructure,Phek,Medical reports,Homicide Unit,Closed,Convicted,No
Odisha,1992,Public Intoxication,Public urination in a city park,Bhadrak,Audio recordings,Highway Patrol,Closed,Convicted,No
Punjab,1980,Fraud,Insurance fraud scheme,Abohar,Eyewitness accounts,K-9 Unit,Closed,Convicted,No
Tamil Nadu,1982,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Tiruchirappalli,Medical reports,Traffic Enforcement Unit,Closed,Convicted,Yes
Tamil Nadu,1996,Burglary,Break-in at a suburban home,Tiruppur,Witness statements,Forensic Science Division,Open,Convicted,Yes
Karnataka,2018,Theft,Pickpocketing in a crowded market,Bellary,Financial transactions,Homicide Unit,Under Investigation,Partially convicted,No
Karnataka,2022,Forgery,Forgery of legal documents for identity theft,Mysore,Forensic analysis reports,Community Policing Unit,Closed,Partially convicted,Yes
Uttar Pradesh,1996,Arson,Setting fire to a vacant building,Allahabad,Character witness testimonies,Special Investigations Unit,Open,Partially convicted,Yes
Rajasthan,1975,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Jaipur,"Digital evidence (e.g., emails, text messages)",Forensic Science Division,Under Investigation,Convicted,No
Tripura,1986,White-Collar Crime,Insider trading on the stock market,Belonia,Expert witness testimony,Special Investigations Unit,Closed,Convicted,No
West Bengal,1993,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Malda,Forensic analysis reports,Narcotics Division,Closed,Not convicted,Yes
Assam,2017,Public Intoxication,Drunken disorderly conduct at a bar,Silchar,Property ownership documents,Highway Patrol,Open,Partially convicted,Yes
Haryana,1976,Domestic Violence,Stalking by an ex-partner,Hisar,Phone records,SWAT Team,Closed,Convicted,Yes
Jharkhand,1981,Arson,Arson for insurance fraud,Ranchi,"Digital evidence (e.g., emails, text messages)",Cyber Crimes Unit,Under Investigation,Partially convicted,Yes
Telangana,1978,Public Intoxication,Drunken disorderly conduct at a bar,Nizamabad,Expert witness testimony,Traffic Enforcement Unit,Open,Convicted,Yes
Manipur,1982,Public Corruption,Government contractor charged with fraud in connection with public projects,Mayang Imphal,Phone records,SWAT Team,Open,Convicted,No
Madhya Pradesh,2001,Embezzlement,Corporate embezzlement scheme,Ujjain,Vehicle registration records,Special Investigations Unit,Closed,Not convicted,Yes
Assam,2016,Burglary,Break-in at a suburban home,Nagaon,Video surveillance footage,Bureau of Investigation,Closed,Not convicted,No
Jharkhand,1975,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Ramgarh,Property ownership documents,Traffic Enforcement Unit,Under Investigation,Convicted,No
West Bengal,1993,Organized Crime,"Illegal gambling ring busted, dismantling criminal enterprise",Bardhaman,"Physical evidence (e.g., fingerprints, DNA)",K-9 Unit,Closed,Partially convicted,Yes
Nagaland,2014,Burglary,Break-in at a suburban home,Phek,Character witness testimonies,SWAT Team,Closed,Not convicted,No
Uttar Pradesh,1984,Embezzlement,Misappropriation of funds by a financial advisor,Kanpur,Vehicle registration records,Forensic Science Division,Closed,Convicted,No
Rajasthan,2020,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Sikar,Confession statements,Traffic Enforcement Unit,Open,Convicted,Yes
Odisha,2022,Car Theft,Carjacking of a taxi cab by a lone assailant,Cuttack,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Open,Partially convicted,Yes
Haryana,1995,Fraud,Tax evasion,Sonipat,Forensic analysis reports,Bureau of Investigation,Under Investigation,Partially convicted,No
Uttarakhand,2022,Homicide,Domestic murder-suicide,Rishikesh,Photographic evidence,Criminal Investigation Division,Under Investigation,Not convicted,Yes
Bihar,1974,Domestic Violence,Stalking by an ex-partner,Arrah,Phone records,Narcotics Division,Closed,Convicted,Yes
Punjab,2020,Burglary,Office burglary during the night,Hoshiarpur,Audio recordings,City Police Department,Under Investigation,Not convicted,Yes
Chhattisgarh,2006,Vandalism,Smashing car windows in a parking lot,Korba,Bank statements,State Police Department,Closed,Partially convicted,Yes
Nagaland,1990,Kidnapping,Hostage situation at a bank,Tuensang,Crime scene photographs,SWAT Team,Open,Not convicted,Yes
Tamil Nadu,2000,Embezzlement,Misappropriation of funds by a financial advisor,Vellore,Bank statements,K-9 Unit,Closed,Not convicted,Yes
Punjab,2018,Public Intoxication,Drunken disorderly conduct at a bar,Amritsar,Forensic analysis reports,Homicide Unit,Closed,Convicted,No
Kerala,1983,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Kochi,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Closed,Partially convicted,No
Mizoram,1973,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Saitual,Expert witness testimony,Special Operations Division,Under Investigation,Not convicted,No
Tripura,1990,White-Collar Crime,Insider trading on the stock market,Kailasahar,Medical reports,Cyber Crimes Unit,Open,Convicted,Yes
Arunachal Pradesh,1993,Vandalism,Graffiti on public property,Bomdila,Witness statements,SWAT Team,Closed,Partially convicted,No
Andhra Pradesh,1984,Homicide,Mysterious death investigation,Guntur,Forensic analysis reports,K-9 Unit,Under Investigation,Convicted,Yes
Meghalaya,1970,Kidnapping,Hostage situation at a bank,Tura,Medical reports,SWAT Team,Under Investigation,Convicted,No
Uttarakhand,2006,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Haridwar,Property ownership documents,Major Crimes Unit,Open,Convicted,No
Assam,2019,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Bongaigaon,Photographic evidence,Traffic Enforcement Unit,Closed,Convicted,Yes
Rajasthan,1993,Homicide,Gang-related shooting in a city street,Pali,Confession statements,Victim Services Division,Under Investigation,Partially convicted,No
Chhattisgarh,2023,Burglary,Break-in at a suburban home,Korba,Witness statements,SWAT Team,Open,Partially convicted,Yes
Tamil Nadu,1986,Car Theft,Carjacking of a taxi cab by a lone assailant,Tirunelveli,Expert witness testimony,Victim Services Division,Under Investigation,Partially convicted,Yes
Madhya Pradesh,1973,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Satna,Property ownership documents,Metropolitan Police Department,Under Investigation,Convicted,Yes
